Name,Summer 2025 Tasks,Total Tasks,Completed,Progress
Cosmic Watch,"Order Cygnet Cosmic Watch (Order%20Cygnet%20Cosmic%20Watch%2020fca1dca64c8047be15ca57cd3005fa.md), Replace LT1807 Footprint with SOIC-8 (Replace%20LT1807%20Footprint%20with%20SOIC-8%2020fca1dca64c80ea8b55c9cf41f375f3.md), Review Gerber Files (Review%20Gerber%20Files%2020fca1dca64c80a991eef9febd64f2e2.md), Review JLCPCB Assembly (Review%20JLCPCB%20Assembly%2020fca1dca64c80c386f9f118b5a1e253.md), Order Plastic Scintillator (Order%20Plastic%20Scintillator%2020fca1dca64c8065ba16ca9020f93c90.md), Find Suitable Plastic Scintillator (Find%20Suitable%20Plastic%20Scintillator%2020fca1dca64c80f98f9dfcfc65e71e61.md), Test/Debug Cygnet Cosmic Watch (Test%20Debug%20Cygnet%20Cosmic%20Watch%2020fca1dca64c80689a3bf110825fc89a.md), Order Cygnet Cosmic Watch v2 Boards (Order%20Cygnet%20Cosmic%20Watch%20v2%20Boards%2020fca1dca64c803b9451d40a44ee5517.md), Implement changes for Cygnet Cosmic Watch v2 (Implement%20changes%20for%20Cygnet%20Cosmic%20Watch%20v2%2020fca1dca64c8033b055ea8f163d8411.md), Testing/Verification/Validation Checklist (Testing%20Verification%20Validation%20Checklist%20215ca1dca64c80d7904df0d9ea165af8.md)",10,9,90%
Cygnet Computer,"Order Cygnet Muon Dev Board (Order%20Cygnet%20Muon%20Dev%20Board%2020fca1dca64c80d295eff1f45e6c7b4f.md), Implement Michael PR Comments (Implement%20Michael%20PR%20Comments%2020fca1dca64c8089843cc14fb233e5fc.md), Generate Gerber Files (Generate%20Gerber%20Files%2020fca1dca64c80b78faece514af2bf76.md), Generate BOM/CPL File (Generate%20BOM%20CPL%20File%2020fca1dca64c806cbd57f672e39ab04e.md), Upload Files to JLCPCB (Upload%20Files%20to%20JLCPCB%2020fca1dca64c804b9418e9b9252ad47d.md), Cygnet Computer Dev Board Firmware  (Cygnet%20Computer%20Dev%20Board%20Firmware%2020fca1dca64c803cad2ec536543cd408.md), Test/Debug Cygnet Computer Dev Board (Test%20Debug%20Cygnet%20Computer%20Dev%20Board%2020fca1dca64c80009be5f7c1dff661bf.md), Cygnet Payload Computer (Flight Version) System Block Diagram (Cygnet%20Payload%20Computer%20(Flight%20Version)%20System%20Bl%2020fca1dca64c80e09617efa5373b79d2.md), Implement changes for Cygnet Computer Dev Board v2 (Implement%20changes%20for%20Cygnet%20Computer%20Dev%20Board%20v2%2020fca1dca64c8031bbc1f523e31a7f2d.md), Order Cygnet Computer Dev Board v2  (Order%20Cygnet%20Computer%20Dev%20Board%20v2%2020fca1dca64c8064a99bc0ba609e8d26.md), Testing/Verification/Validation Checklist (Testing%20Verification%20Validation%20Checklist%20215ca1dca64c80239ad1f49bcdeecfde.md)",11,7,64%
Component Selection Pt. 1,"Criteria for SBC (Criteria%20for%20SBC%2020fca1dca64c804d8272de7a239ccb75.md), List of categories of components (List%20of%20categories%20of%20components%20210ca1dca64c806c99f6f6535a22810f.md), Criteria for uControllers (Criteria%20for%20uControllers%20210ca1dca64c803f80f5ddaee79e6f73.md), Update Radiation Requirements (Update%20Radiation%20Requirements%20210ca1dca64c805fadfdc60b9aceea8a.md)",4,4,100%
RadFET Board,"System Block Diagram (System%20Block%20Diagram%2020fca1dca64c809ea811cdb0b70fef4e.md), Naming the RadFET Board (Naming%20the%20RadFET%20Board%2020fca1dca64c80409d98dc4d990d7a7e.md), Generate Gerber Files (Generate%20Gerber%20Files%2020fca1dca64c80bfa8cfca19df0ffdf3.md), RadFET Board Layout (RadFET%20Board%20Layout%2020fca1dca64c80ca8107f1d5962d4ec4.md), RadFET Board Schematic (RadFET%20Board%20Schematic%2020fca1dca64c807a90f9c2a10158d93f.md), Generate BOM/CPL (Generate%20BOM%20CPL%2020fca1dca64c806c82dbdedca3fa7c98.md), Upload Files to JLCPCB (Upload%20Files%20to%20JLCPCB%2020fca1dca64c80a2b69bc16a20ad42ba.md), RadFET Schematic Symbol (RadFET%20Schematic%20Symbol%2020fca1dca64c8001933ad6b3dc744c5a.md), RadFET Footprint (RadFET%20Footprint%2020fca1dca64c8076a25ff1d62c7524e0.md), RadFET Board Test (RadFET%20Board%20Test%2020fca1dca64c801a98ddee104e48ba27.md), RadFET Board Test Procedure (RadFET%20Board%20Test%20Procedure%2020fca1dca64c8026aa68f5f040c07ad3.md)",11,5,45%
Radiation Testing,"TID Test Setup - Jetson  (TID%20Test%20Setup%20-%20Jetson%2020fca1dca64c8021a3fbd0979f2994d7.md), TID Test Procedure - Jetson  (TID%20Test%20Procedure%20-%20Jetson%2020fca1dca64c809aa120e1b3dd3574a3.md), TID Test Conditions - Jetson (TID%20Test%20Conditions%20-%20Jetson%2020fca1dca64c8024b8d1dfd27733a110.md), High Energy Proton SEE Test Procedure - iMX (High%20Energy%20Proton%20SEE%20Test%20Procedure%20-%20iMX%2020fca1dca64c80d68868cd0cec05aacf.md), High Energy Proton SEE Test Setup - iMX (High%20Energy%20Proton%20SEE%20Test%20Setup%20-%20iMX%2020fca1dca64c8031963cd07a325fb8b1.md), High Energy Proton SEE Test Conditions - iMX (High%20Energy%20Proton%20SEE%20Test%20Conditions%20-%20iMX%2020fca1dca64c80cc97bdfa3229b09957.md), High Energy Proton SEE Test Procedure - Jetson AGX Orin (High%20Energy%20Proton%20SEE%20Test%20Procedure%20-%20Jetson%20AGX%2020fca1dca64c80ebafc7de536b35d5f0.md), High Energy Proton SEE Test Setup - Jetson AGX Orin (High%20Energy%20Proton%20SEE%20Test%20Setup%20-%20Jetson%20AGX%20Ori%2020fca1dca64c8000a4d9c9dc84d6c3d1.md), High High Energy SEE Test Procedure - iMX (High%20High%20Energy%20SEE%20Test%20Procedure%20-%20iMX%2020fca1dca64c80f892eafd01bcbe04b0.md), TID Test Standard Research (TID%20Test%20Standard%20Research%2020fca1dca64c8072a8d9d6ec0913481b.md), TID Test Guideline Research (TID%20Test%20Guideline%20Research%2020fca1dca64c8053b002c4d0e583010d.md)",11,0,0%
